"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2016"
"Tue Apr 30 2019 10:30:49 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Primary Energy","Quad Btu"
"","Production",""
"","Production",""
"","Afghanistan","Quad Btu",0.072736441954151,0.092910694385907,0.094744753590349,0.099577705894139,0.099751606078349,0.12089147019887,0.1206515398422,0.11479339831126,0.12110773584788,0.11862724867116,0.11880148869603,0.019882743859226,0.016393326056199,0.016307205469063,0.016230539881926,0.012230107294789,0.01185990406141,0.011376165474273,0.011146679474273,0.011115794887137,0.011230706887137,0.0078725152019776,0.0081747729071883,0.0092432045453138,0.0084839099581771,0.0086846950119347,0.0091828575453138,0.013970282924712,0.013774315654411,0.018585542287549,0.027521904543009,0.041304489424859,0.036961717832067,0.039702750561256,0.044374783038672,0.042368320580777,0.049233547649683
"","Albania","Quad Btu",0.1557920988708,0.15883220397091,0.20656367501075,0.2340682957303,0.19021338454805,0.19183382155384,0.19604600505754,0.20232202792506,0.18650511539197,0.195714613912,0.12790562613012,0.095520951031316,0.066077876264454,0.062657134007085,0.066505379253259,0.068651020451247,0.082782995337386,0.074229512919983,0.066802887176389,0.068542586976389,0.061269951329218,0.051360764218452,0.051140989834609,0.070019961577154,0.072380847707154,0.071455004353826,0.068796602353826,0.043395025953826,0.053013134944076,0.064617004956406,0.10066441769346,0.075429708442694,0.084966027631075,0.10708357515684,0.093595989815713,0.10293963668163,0.12006231874217
"","Algeria","Quad Btu",2.8028471779028,3.0371801250568,3.2254446913245,3.6063549623919,3.8582381975752,3.9070138199991,3.9680928166518,4.2167776171083,4.2976539214377,4.5035492155013,4.7529954537094,4.9162714119175,5.0326381803972,4.8846132063568,4.7356460609991,5.0483543527481,5.2482449646104,5.5925027056518,5.7492150263074,6.0198296606594,6.1905905854,6.1696001832,6.3905358305,6.788415607,6.9007554695,7.47991379335,7.417508976,7.12999869862,7.1790311553,6.94456575906,6.9289967507448,6.8301447295648,7.0017924910231,6.5125568873743,6.5640052245789,6.6982947221289,6.9126133077921
"","American Samoa","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Angola","Quad Btu",0.3346848417437,0.2910444913886,0.276254082778,0.39447589092,0.461739968,0.51126584,0.62096244,0.78897894,0.989781232,0.990138344,1.0381117823415,1.09156174,1.1517223177,1.1120039706,1.169655776,1.4039587736,1.5416244616,1.5488499757,1.5959505068,1.6136699116,1.6225954847,1.6090249443,1.9409163942,1.9563469515,2.2926774155,2.6973042855,3.0586818903,3.758617351652,4.23209073544,4.0629830709,4.1381426333553,3.8157380037843,3.8909872500129,3.9322411305734,3.8020884516386,3.9505785203046,3.9351578564634
"","Antarctica","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998E-5,1.9838E-5,1.9768E-5,1.9708E-5,3.904E-5,3.9024E-5,3.8864E-5,4.758E-6,4.7705E-6,4.755E-6,9.319E-6,9.232E-6
"","Antigua and Barbuda","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-6,4.858E-6,4.758E-6,5.7246E-6,5.706E-6,4.6595E-5,5.5392E-5
"","Argentina","Quad Btu",1.5981120847599,1.6711445984306,1.7294754042613,1.7851115983222,1.853642827438,1.8349103450986,1.8447819008398,1.8348055249045,1.9062731251262,1.9846730942517,2.0146697973181,2.103069649322,2.2798400126748,2.4771702355414,2.6861503252731,2.9088442225177,3.0256799492314,3.2813995130494,3.3759575761965,3.4055370051628,3.4899628599914,3.6590507463149,3.5725375769763,3.7406781181683,3.7559090393014,3.7479330333803,3.8229196485093,3.6708418127161,3.6613852865842,3.5846609561827,3.5088049699412,3.3635837677938,3.2232919819511,3.1317961512994,3.128021389293,3.1653894449554,3.2237681173522
"","Armenia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.031160446,0.043802941,0.035889364,0.0195928,0.04071154,0.030819838,0.032169334,0.036536488,0.034304848,0.033196589,0.041199143,0.04120475,0.045665273,0.046917644,0.046331502,0.04568496765,0.04411911962,0.04639953,0.051566047,0.051605197,0.046819248,0.045980655,0.04536061,0.050534947,0.047246935
"","Aruba","Quad Btu",--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002928,0.0010351116,0.001102766,0.001303692,0.001459773,0.0015216,0.001630825,0.001283248
"","Australia","Quad Btu",3.4137723012335,3.9403081327453,3.9363382873279,4.3787722272531,4.8115044857431,5.279927342105,5.4967092776372,6.0477995757981,5.5595262717051,5.8876044359205,6.4893187208397,6.7988797387825,7.0158594098923,7.0329293130841,7.1175876752889,7.6441145484946,7.7952666739329,8.208701082978,8.5726346392691,8.6834413404126,9.4977521245123,9.9447158440223,10.153581128042,9.8638761820492,9.9360509987678,10.558325783959,10.637042069247,11.163904008685,11.243724863703,11.594391790063,12.678864323433,12.639191840943,13.212117786701,14.188676123491,15.176637313838,15.242829357244,15.917849248889
