Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18901250260,20980851749,21862618924,25100185225,27257361303,31851758766,33751266804,41281987928,47787701632,48993947132,56301245699,60497919532,63321945207,64927897266,67121528010
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,8574302909,6238203362,5921017105,6643835372,7348398691,8499383642,9442107976,8554984866,9451327085,10792635380,11927789587,13162802707,14221997348,15181463316,16414418008,17663273515,19630326865,21610875030,24251574982,25805596908,28046586017,29655514485,30530361480,30604039212,32529259267,33594887824,34198433943
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,1.71406E+11,1.74986E+11,1.82196E+11,1.82614E+11,1.84822E+11,1.95846E+11,2.07598E+11,2.13474E+11,2.26796E+11,2.37635E+11,2.52326E+11,2.6584E+11,2.85062E+11,3.11685E+11,3.34032E+11,3.65149E+11,3.82707E+11,4.06144E+11,4.23884E+11,4.34075E+11,4.55344E+11,4.78299E+11,5.03923E+11,5.26958E+11,5.57272E+11,5.84428E+11,6.10316E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,36452838272,38039582895,36635231217,28511447768,29508207909,34642201775,40052337783,43701218107,46247825134,47979896568,50570644309,53898571974,62204663376,65341971480,74492301785,88444806524,1.01689E+11,1.19021E+11,1.34907E+11,1.37099E+11,1.45516E+11,1.53714E+11,1.70044E+11,1.81601E+11,1.9396E+11,1.97884E+11,1.94887E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,705982135.9,745360703.4,771182110.3,831218333.1,905582517.4,884167815.4,959772516.8,1029608213,1090024771,1147741137,1252409746,1217491648,1248841407,1350906254,1467677487,1612043701,1873063057,2100962037,2141529267,1896537223,1781481648,1780882298,1878683054,1909667048,2036433378,2141067840,2285469967
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,2.39711E+11,2.70311E+11,2.98418E+11,3.30591E+11,3.57331E+11,3.54405E+11,3.8082E+11,4.18755E+11,4.39597E+11,4.31214E+11,4.37547E+11,4.27788E+11,3.87034E+11,4.29636E+11,4.81311E+11,5.40772E+11,6.0224E+11,6.73959E+11,7.1506E+11,6.77848E+11,7.556E+11,8.17698E+11,8.24826E+11,8.59489E+11,8.53745E+11,8.86441E+11,8.79802E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,8556293027,7806682921,4647060382,4338955060,4670583777,5096988773,5494453497,5774089518,6262836164,6568514081,7114342853,7971857988,9161566217,10656260415,12095430954,14215699272,16586273459,19368861477,21111470901,18261841644,18891549952,20192628680,22061643344,23189620215,24478960967,25532426387,25863255107
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,1491520954,1663887541,1801923564,1979608055,2187598063,2290107693,2359566445,2569071957,2648683970,2722510928,2996543265,2973767495,2920573431,3037659134,3368120962,3518711686,3664919459,3830187987,3901779000,3517836007,3429584503,3621879746,3640775315,3860198917,3966592110,3990944276,4026064501
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,2.95791E+11,3.07545E+11,3.18222E+11,3.37985E+11,3.58239E+11,3.77604E+11,4.0233E+11,4.24683E+11,4.52745E+11,4.77891E+11,5.04044E+11,5.30461E+11,5.64122E+11,5.90527E+11,6.29935E+11,6.63628E+11,7.09569E+11,7.60451E+11,7.94915E+11,8.72904E+11,8.64965E+11,9.35917E+11,9.71875E+11,1.05995E+12,1.09865E+12,1.09994E+12,1.14361E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,1.49275E+11,1.59635E+11,1.66691E+11,1.71539E+11,1.7941E+11,1.8806E+11,1.95228E+11,2.0258E+11,2.12778E+11,2.2064E+11,2.3538E+11,2.38979E+11,2.51985E+11,2.60768E+11,2.75747E+11,2.88087E+11,3.11092E+11,3.2678E+11,3.43813E+11,3.41463E+11,3.51314E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.1706E+11,4.31078E+11,4.51297E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,39382553511,40408553123,31989177212,25184968070,20653912932,18596693542,19182356576,20642281882,22952933937,25028697734,28439634125,31967431974,35898737845,40715411796,46102139409,60148122288,83384664047,1.07047E+11,1.20904E+11,1.33287E+11,1.41464E+11,1.44514E+11,1.50526E+11,1.62046E+11,1.68414E+11,1.72087E+11,1.68576E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,5133478991,5082531113,4999521311,5134227978,5408604284,5763179148,6116242260,6349212288,6720826879,7311168491,7787796701,8174415769,8524379232,8584400772,8898318292,9496484969,10034597597,10450669989,10408037337,10049216709,10328476468,10608854836,11146058128,11295114092,11491772722,11736026832,11663909788
